Engine_Speed,tCell_Ambient,tCoolant_Out,tOil_Gallery_PRT,pgCrankcase,pgOil_Gallery,qCoolant,TC1_MB1_Rr_NonThrust,TC2_MB2_Fr_Thrust,TC3_MB2_Rr_NonThrust,qOil,Dyno_Torque
600.168549492555,19.8156388397012,89.2100813471083,90.0130835281963,0.18465737661718,202.155172142463,54.7641633987432,88.8563493406983,90.2265577448954,89.7252329863893,8.62216993231164,-3.30579465135894
999.802090824052,19.8808162000938,89.1861197429433,89.9821791980605,0.204235459884806,206.626762027828,54.8118963877365,89.5399759144797,91.2554595271944,89.9306573131523,8.65781821574261,-4.06707238072548
1249.69086825153,19.8226554604644,89.5090209875541,89.9809944012862,0.238656957962422,208.99411230572,60.8763186772669,91.1494039367474,92.8022572031268,91.0167990138144,9.10256807329333,-4.62801447043325
1499.25596365465,19.8380630434328,89.2979840152935,89.9974912936401,0.23033284438336,211.081785949681,55.2570191065476,90.900609966566,93.1731776444238,91.0362854346971,9.26545782300966,-5.27303417276332
1999.61900079177,20.1203709050499,89.3704559505412,90.0230890434398,0.217678346407205,214.996023522836,55.2382988770808,91.6471500749559,94.7480071330188,92.1677457267403,10.1629195414266,-6.43770048000265
2499.38512909657,19.9626086209034,89.4284891808348,90.0597628540928,0.224944586246862,219.915194784185,55.113459094366,92.9796987225728,96.7855107960221,93.8902600937895,11.2561533575636,-7.70347801676907
2798.69177827558,19.8875647409455,89.4226037175631,90.0645313155097,0.282393169451985,223.863211519436,55.6448004086817,94.1068189270099,98.0662014762639,94.2514487018188,12.1506446701257,-8.52614450790144
3099.40225834463,20.1310333313124,89.4334417961445,90.0732818975879,0.389768098507491,223.718359061871,55.4732824007675,95.2254432157678,99.041482787799,96.5857673059084,12.8263427758354,-9.41430670575784
3099.79053959376,20.1696285055392,89.4007837793869,89.9857293192116,0.262033528047618,532.184400469595,55.5019825935369,93.5934323493245,96.554136697487,93.4121938312557,27.2225562756829,-10.0286194019714
3500.52650848798,19.9844517477077,89.4907862198002,89.9382695480823,0.410187464874035,531.937078577154,60.7342389265701,94.1342979741831,97.8308982792373,94.6796481248493,28.407113503084,-11.4366538916716
599.619734825359,35.544327885535,99.6798336451642,100.013178753444,0.223751428845486,199.93891934368,60.2221965630854,99.3328512162477,100.381623833507,99.9630483307283,9.0013454974704,-2.95317361803321
1000.55375713018,35.379378458225,99.6662730822422,100.012431038528,0.242140735177146,204.773345732371,61.9899243354802,99.8461084702442,101.206327595424,100.157461740821,9.50218741671551,-3.57688366744053
1248.9646525482,35.1231135742784,99.6731332872369,100.003511519229,0.21477405455532,206.803648101513,61.8818789958958,100.374323554246,101.949143584238,100.578627320904,9.94833610395491,-4.12214521700423
